tconst	başlıkTipi	öncelikliBaşlık	orjinalBaşlık	yetişkinFilmiMi	başlangıçYılı	bitişYılı	süre	tür	başlıkId	sıralama	başlık	ülke	dil	tip	özellikler	orjinalBaşlıkMı
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	10	Penny Dreadful	FR	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	11	Povesti de groaza	RO	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	12	Penny Dreadful	ES	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	13	Pigios siaubo istorijos	LT	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	14	Penny Dreadful	CA	en	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	15	Londoni rémtörténetek	HU	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	16	Страшные сказки	RU	\N	\N	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	17	Penny Dreadful	IE	\N	\N	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	18	Peni Dredful	RS	\N	\N	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	19	Penny Dreadful	US	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	1	Penny Dreadful	AU	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	20	Penny Dreadful	DE	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	2	Penny Dreadful	CZ	\N	\N	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	3	Dom grozy	PL	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	4	Penny Dreadful	SK	\N	\N	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	5	Penny Dreadful	IT	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	6	Penny Dreadful	MX	\N	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	7	Penny Dreadful	\N	\N	original	\N	1
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	8	Penny Dreadful	IN	en	imdbDisplay	\N	0
tt2628232	tvSeries	Penny Dreadful	Penny Dreadful	0	2014	2016	60	Drama,Fantasy,Horror	tt2628232	9	Страшнi казки	UA	\N	\N	\N	0
tt2629936	movie	The Murders of Brandywine Theater	The Murders of Brandywine Theater	0	2014	\N	71	Drama,Fantasy,Horror	tt2629936	1	The Murders of Brandywine Theater	US	\N	\N	\N	0
tt2756720	movie	Die Toten reiten schnell	Die Toten reiten schnell	0	2015	\N	75	Drama,Fantasy,Horror	tt2756720	1	Die Toten reiten schnell	DE	\N	\N	\N	0
tt2756720	movie	Die Toten reiten schnell	Die Toten reiten schnell	0	2015	\N	75	Drama,Fantasy,Horror	tt2756720	2	Die Toten reiten schnell	\N	\N	original	\N	1
tt2756720	movie	Die Toten reiten schnell	Die Toten reiten schnell	0	2015	\N	75	Drama,Fantasy,Horror	tt2756720	3	The Dead Ride Fast	\N	\N	imdbDisplay	\N	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	10	Starry Eyes	\N	\N	original	\N	1
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	11	Gwiazdy w oczach	PL	\N	imdbDisplay	\N	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	1	Starry Eyes	IT	\N	imdbDisplay	\N	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	2	Глаза звезды	RU	\N	\N	\N	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	3	Starry Eyes - Träume erfordern Opfer	DE	\N	\N	DVD box title	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	4	Zvezdane oči	RS	\N	\N	\N	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	5	Olhos de Estrela	BR	\N	video	\N	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	6	Tiszta tekintet	HU	\N	imdbDisplay	\N	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	7	Şeytanın Gözleri	TR	tr	imdbDisplay	\N	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	8	A Qualquer Preço	PT	\N	imdbDisplay	\N	0
tt2793490	movie	Starry Eyes	Starry Eyes	0	2014	\N	98	Drama,Fantasy,Horror	tt2793490	9	Starry Eyes	US	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	10	Λευκός Θεός	GR	\N	\N	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	11	White God - Sinfonia per Hagen	IT	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	12	Deus Branco	PT	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	13	Revolten	SE	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	14	White God	ES	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	15	Fehér isten	HU	\N	\N	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	16	Lefkos theos	GR	\N	\N	transliterated ISO-LATIN-1 title	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	17	Fehér isten	\N	\N	original	\N	1
